time,x_bb,y_bb,w_bb,h_bb,w_im,h_im,f_u,f_v,f_delta,psi_telem_ref,psi_telem,theta_centroid_ref,theta_centroid,delta_f_u_psi,delta_f_u_y,delta_f_v_z,delta_f_delta_x,A_exp,alpha_u,alpha_v,d_exp,FOV_u,FOV_v,delta_x_tme,delta_y_tme,delta_psi_tme,delta_z_tme,prev_delta_x_tme,prev_delta_y_tme,prev_delta_psi_tme,prev_delta_z_tme,v_xr,v_yr,v_zr,yawrate,pitch_angle,roll_angle,yaw_angle,f_u_ref,f_v_ref,f_delta_ref,kp_vx,kd_vx,kp_vy,kd_vy,kp_yaw,kd_yaw,kp_vz,kd_vz,camera_period,controller_period,local_x,local_y,local_z,local_vx,local_vy,local_vz,body_vx,body_vy,body_vz,body_yawrate
1579735830.8523483,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,86.93044035939357,0.0,-1.3185074013420777,-0.251953125,-0.251953125,-0.2253501461993497,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.758187407773513,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.758187407773513,34.68026041666667,-0.44908878504672894,-0.5534764348605978,-45.1248046875,-1.3185074013420777,-1.1129120905789354,86.93044035939357,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.0072488063015043736,0.018722238019108772,-10.042594909667969,0.000634996045846492,-0.019249163568019867,0.043427906930446625,-0.01818063165424628,-0.002516552293471203,0.043818354779852256,0.003888768870957421
1579735830.8714342,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,86.93087066131127,0.0,-1.3184991837707325,-0.251953125,-0.251953125,-0.22534998387695276,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.758186861642084,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.758186861642084,34.68026041666667,-0.44908878504672894,-0.5534764080648366,-45.1248046875,-1.3184991837707325,-1.1131378069866633,86.93087066131127,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.0072995200753211975,0.018914613872766495,-10.042420387268066,0.0001764803018886596,-0.018698526546359062,0.04374869540333748,-0.017650818314780842,-0.0020356723473481573,0.04413523581797983,0.030254319593518174
1579735830.8853889,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,86.93306315203485,0.0,-1.312220639097904,-0.251953125,-0.251953125,-0.22529190618817688,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.7579914600723708,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.7579914600723708,34.68026041666667,-0.44908878504672894,-0.5533334317161465,-45.1248046875,-1.312220639097904,-1.1134688577179972,86.93306315203485,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.0072995200753211975,0.018914613872766495,-10.042420387268066,0.0001764803018886596,-0.018698526546359062,0.04374869540333748,-0.017650818314780842,-0.0020356723473481573,0.04413523581797983,0.07438788373529977
1579735830.8927138,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,86.93306315203485,0.0,-1.312220639097904,-0.251953125,-0.251953125,-0.2252259632414401,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.7577695959525087,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.7577695959525087,34.68026041666667,-0.44908878504672894,-0.5531714256576864,-45.1248046875,-1.312220639097904,-1.1134688577179972,86.93306315203485,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.007361957803368568,0.019047871232032776,-10.042220115661621,-4.724298196379095e-05,-0.018464626744389534,0.04339947551488876,-0.0174419988975036,-0.0017918967693920074,0.043783843231307656,0.07438788373529977
1579735830.9030724,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,86.93059745374448,0.0,-1.3169112715104103,-0.251953125,-0.251953125,-0.22531861770884762,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.7580813306092069,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.7580813306092069,34.68026041666667,-0.44908878504672894,-0.553399904410984,-45.1248046875,-1.3169112715104103,-1.1169554558458772,86.93059745374448,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.007361957803368568,0.019047871232032776,-10.042220115661621,-4.724298196379095e-05,-0.018464626744389534,0.04339947551488876,-0.0174419988975036,-0.0017918967693920074,0.043783843231307656,-0.49168077235688823
1579735830.9152172,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,86.92818639696746,0.0,-1.3398982731620883,-0.251953125,-0.251953125,-0.22531861770884762,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.7580813306092069,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.7580813306092069,34.68026041666667,-0.44908878504672894,-0.553399904410984,-45.1248046875,-1.3398982731620883,-1.124723728809709,86.92818639696746,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.007361957803368568,0.019047871232032776,-10.042220115661621,-4.724298196379095e-05,-0.018464626744389534,0.04339947551488876,-0.0174419988975036,-0.0017918967693920074,0.043783843231307656,-0.7443163429858487
1579735830.9312913,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,86.86931699651112,0.0,-1.9771525748467507,-0.251953125,-0.251953125,-0.23085462305654297,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.7767071429939764,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.7767071429939764,34.68026041666667,-0.44908878504672894,-0.5670254521702005,-45.1248046875,-1.9771525748467507,-1.3499641577296888,86.86931699651112,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.0074071129783988,0.01908426731824875,-10.042591094970703,0.00040491329855285585,-0.016832491382956505,0.010226179845631123,-0.016422450236638533,-0.0015776434289270832,0.01076501948944526,-6.0707878206364
1579735830.9446568,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,86.7117035512239,0.0,-3.700954650357511,-0.251953125,-0.251953125,-0.25638024791648384,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.8625877499993848,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.8625877499993848,34.68026041666667,-0.44908878504672894,-0.6298359133375302,-45.1248046875,-3.700954650357511,-1.8707420695593602,86.7117035512239,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.0074071129783988,0.01908426731824875,-10.042591094970703,0.00040491329855285585,-0.016832491382956505,0.010226179845631123,-0.016422450236638533,-0.0015776434289270832,0.01076501948944526,-13.28183901093964
1579735830.9557498,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,86.56403486136823,0.0,-5.155674379883037,-0.251953125,-0.251953125,-0.27241083259965454,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.91652242743809,1365.3645833333335,-1.5070093457943925,-22.67578125,-0.91652242743809,34.68026041666667,-0.44908878504672894,-0.6691536003282258,-45.1248046875,-5.155674379883037,-2.141223963994212,86.56403486136823,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.0074071129783988,0.01908426731824875,-10.042591094970703,0.00040491329855285585,-0.016832491382956505,0.010226179845631123,-0.016422450236638533,-0.0015776434289270832,0.01076501948944526,-18.1449832188602
1579735830.9666252,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,86.37177869661072,0.0,-6.7867692305721565,-0.251953125,-0.251953125,-0.3011460371334921,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-1.0132016202622163,1365.3645833333335,-1.5070093457943925,-22.67578125,-1.0132016202622163,34.68026041666667,-0.44908878504672894,-0.7398025042111471,-45.1248046875,-6.7867692305721565,-2.2727994475048683,86.37177869661072,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.007313315756618977,0.019336441531777382,-10.046333312988281,0.010134312324225903,0.006397247780114412,-0.17995452880859375,-0.009206258657689016,-0.0030060272020463567,-0.18009294851869245,-22.69371674381215
1579735830.9754496,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,86.37177869661072,0.0,-6.7867692305721565,-0.251953125,-0.251953125,-0.33336519467796855,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-1.1216025241501746,1365.3645833333335,-1.5070093457943925,-22.67578125,-1.1216025241501746,34.68026041666667,-0.44908878504672894,-0.8189552081752758,-45.1248046875,-6.7867692305721565,-2.2727994475048683,86.37177869661072,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.007313315756618977,0.019336441531777382,-10.046333312988281,0.010134312324225903,0.006397247780114412,-0.17995452880859375,-0.009206258657689016,-0.0030060272020463567,-0.18009294851869245,-22.69371674381215
1579735830.9854867,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,85.94769225104463,0.0,-9.698155720423486,-0.251953125,-0.251953125,-0.39087406361330346,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-1.3150903074840117,1365.3645833333335,-1.5070093457943925,-22.67578125,-1.3150903074840117,34.68026041666667,-0.44908878504672894,-0.9603467885728294,-45.1248046875,-9.698155720423486,-2.2030220215006064,85.94769225104463,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.007313315756618977,0.019336441531777382,-10.046333312988281,0.010134312324225903,0.006397247780114412,-0.17995452880859375,-0.009206258657689016,-0.0030060272020463567,-0.18009294851869245,-29.164340850253335
1579735830.9973452,315,214,5,5,1280,720,0.248046875,0.30069444444444443,192.0,90,85.63764264386106,0.0,-11.558626679575028,-0.251953125,-0.251953125,-0.39087406361330346,175.0,1225,214,214,1,90.0,50.625,1365.3645833333335,-1.5070093457943925,-22.67578125,-1.3150903074840117,1365.3645833333335,-1.5070093457943925,-22.67578125,-1.3150903074840117,34.68026041666667,-0.44908878504672894,-0.9600159244633285,-45.1248046875,-11.558626679575028,-2.0794528003576747,85.63764264386106,0.5,0.5,17,0.0254,1.24e-05,0.298,1.45e-05,1.99,1.19e-05,0.73,1.71e-05,0.03333333333333333,0.01,-0.006687752436846495,0.021135790273547173,-10.059318542480469,0.031061824411153793,0.08487444370985031,-0.5061901807785034,0.0003444085612326758,-0.005225279943074975,-0.5141688293543661,-32.02700973518908
